2016-12-04T22:21:25.607-05:00 INFO    Replica is UP! 
2016-12-04T22:21:25.663-05:00 INFO    ReplicaUlan UDP Server Is UP! 
2016-12-05T00:01:35.933-05:00 INFO    ReplicaManager is UP! 
2016-12-05T00:01:35.976-05:00 INFO    ReplicaUmer Manager UDP Server Is UP! 
2016-12-05T00:02:39.653-05:00 INFO    ReplicaManager is UP! 
2016-12-05T00:02:39.686-05:00 INFO    ReplicaUmer Manager UDP Server Is UP! 
2016-12-05T00:08:02.307-05:00 INFO    ReplicaManager is UP! 
2016-12-05T00:08:02.340-05:00 INFO    ReplicaUmer Manager UDP Server Is UP! 
2016-12-05T00:12:18.423-05:00 INFO    ReplicaManager is UP! 
2016-12-05T00:12:18.464-05:00 INFO    ReplicaUmer Manager UDP Server Is UP! 
2016-12-05T00:12:51.497-05:00 INFO    ReplicaManager is UP! 
2016-12-05T00:12:51.559-05:00 INFO    ReplicaUmer Manager UDP Server Is UP! 
2016-12-05T00:35:16.198-05:00 INFO    ReplicaManager is UP! 
2016-12-05T00:35:16.250-05:00 INFO    ReplicaFeras Manager UDP Server Is UP! 
2016-12-05T00:35:35.077-05:00 INFO    ReplicaManager is UP! 
2016-12-05T00:35:35.120-05:00 INFO    ReplicaFeras Manager UDP Server Is UP! 
2016-12-05T00:36:35.098-05:00 INFO    ReplicaManager is UP! 
2016-12-05T00:36:35.139-05:00 INFO    ReplicaFeras Manager UDP Server Is UP! 
2016-12-05T00:38:29.089-05:00 INFO    ReplicaManager is UP! 
2016-12-05T00:38:29.133-05:00 INFO    ReplicaFeras Manager UDP Server Is UP! 
2016-12-05T00:41:23.422-05:00 INFO    ReplicaManager is UP! 
2016-12-05T00:41:23.464-05:00 INFO    ReplicaFeras Manager UDP Server Is UP! 
2016-12-05T00:49:59.656-05:00 INFO    ReplicaManager is UP! 
2016-12-05T00:49:59.717-05:00 INFO    ReplicaFeras Manager UDP Server Is UP! 
2016-12-05T00:50:07.642-05:00 INFO    ReplicaManager is UP! 
2016-12-05T00:50:07.696-05:00 INFO    ReplicaFeras Manager UDP Server Is UP! 
2016-12-05T01:05:53.105-05:00 INFO    ReplicaManager is UP! 
2016-12-05T01:05:53.159-05:00 INFO    ReplicaFeras Manager UDP Server Is UP! 
2016-12-05T01:09:11.507-05:00 INFO    ReplicaManager is UP! 
2016-12-05T01:09:11.554-05:00 INFO    ReplicaFeras Manager UDP Server Is UP! 
2016-12-05T01:10:44.161-05:00 INFO    ReplicaManager is UP! 
2016-12-05T01:10:44.203-05:00 INFO    ReplicaFeras Manager UDP Server Is UP! 
2016-12-05T01:21:31.494-05:00 INFO    ReplicaManager is UP! 
2016-12-05T01:21:31.535-05:00 INFO    ReplicaFeras Manager UDP Server Is UP! 
2016-12-05T10:45:23.247-05:00 INFO    ReplicaManager is UP! 
2016-12-05T10:45:23.289-05:00 INFO    ReplicaFeras Manager UDP Server Is UP! 
